Team,Player,Week,Rank,Expected_Points,Actual_Points,Difference
Eugene Tweakers,Tee Higgins,2,17,237.31,139.2,-98.11
Eugene Tweakers,Cam Akers,2,66,146.71,31.5,-115.21
Eugene Tweakers,Darren Waller,2,39,187.71,39.5,-148.21
Eugene Tweakers,Marquise Brown,2,33,211.78,109.5,-102.28
Eugene Tweakers,Tom Brady,2,18,306.83,153.4,-153.43
Eugene Tweakers,Adam Thielen,2,35,192.17,108.2,-83.97
Eugene Tweakers,Drake London,2,38,192.77,103.9,-88.87
Eugene Tweakers,Kadarius Toney,2,120,186.18,26.5,-159.68
Eugene Tweakers,Dak Prescott,2,29,306.52,81.98,-224.54
Eugene Tweakers,Cowboys D/ST,2,2,106.49,109,2.51
Eugene Tweakers,Graham Gano,2,9,131.95,83,-48.95
Eugene Tweakers,Mike Davis,2,115,50.28,4.2,-46.08
Eugene Tweakers,Kenyan Drake,2,41,13.48,79.2,65.72
Diggy Wit it,Christian McCaffrey,2,3,309.94,201.76,-108.18
Diggy Wit it,Stefon Diggs,2,1,258.25,227.3,-30.95
Diggy Wit it,Aaron Jones,2,8,242.56,172.6,-69.96
Diggy Wit it,Mike Williams,2,36,211.44,107,-104.44
Diggy Wit it,DJ Moore,2,28,234.57,114.1,-120.47
Diggy Wit it,Courtland Sutton,2,29,210.42,113.8,-96.62
Diggy Wit it,Allen Robinson II,2,52,201.07,84.9,-116.17
Diggy Wit it,Rashaad Penny,2,53,162.93,52.2,-110.73
Diggy Wit it,Trey Lance,2,43,284.03,12.46,-271.57
Diggy Wit it,Chase Edmonds,2,54,174.07,52.1,-121.97
Diggy Wit it,Cole Kmet,2,11,145.78,87.8,-57.98
Diggy Wit it,Robert Woods,2,66,180.44,67.5,-112.94
Diggy Wit it,Daniel Carlson,2,4,139.12,95,-44.12
Diggy Wit it,Marquez Valdes-Scantling,2,55,172.06,78.6,-93.46
Diggy Wit it,Jameson Williams,2,0,92.61,0,-92.61
Diggy Wit it,Jeff Wilson Jr.,2,23,50.21,112.4,62.19
Diggy Wit it,Bengals D/ST,2,20,101.48,50,-51.48
P-Town CASH KEVIN,Jonathan Taylor,2,24,316.99,112,-204.99
P-Town CASH KEVIN,Tyreek Hill,2,2,246.45,222.3,-24.15
P-Town CASH KEVIN,Travis Kelce,2,1,227.3,223,-4.3
P-Town CASH KEVIN,Patrick Mahomes,2,1,352.02,262.4,-89.62
P-Town CASH KEVIN,Terry McLaurin,2,13,221.94,142.4,-79.54
P-Town CASH KEVIN,Kareem Hunt,2,31,182.53,95.5,-87.03
P-Town CASH KEVIN,Hunter Renfrow,2,102,199.03,38.2,-160.83
P-Town CASH KEVIN,DeVonta Smith,2,23,192.23,123.9,-68.33
P-Town CASH KEVIN,Rhamondre Stevenson,2,9,182.24,163.7,-18.54
P-Town CASH KEVIN,Joe Burrow,2,5,294.45,226.2,-68.25
P-Town CASH KEVIN,Chase Claypool,2,51,180.36,87.24,-93.12
P-Town CASH KEVIN,Skyy Moore,2,123,134.97,24.9,-110.07
P-Town CASH KEVIN,Pat Freiermuth,2,6,144.17,98.2,-45.97
P-Town CASH KEVIN,Packers D/ST,2,16,135.55,59,-76.55
P-Town CASH KEVIN,Brandon McManus,2,16,139.43,77,-62.43
P-Town CASH KEVIN,Julio Jones,2,96,130.5,42.5,-88
I dont know what im doing,Leonard Fournette,3,12,258.74,154.7,-104.04
I dont know what im doing,Davante Adams,3,3,253.59,216.4,-37.19
I dont know what im doing,Mike Evans,3,20,223.32,134.1,-89.22
I dont know what im doing,Breece Hall,3,22,210.66,115.1,-95.56
I dont know what im doing,Brandin Cooks,3,49,215.1,91.6,-123.5
I dont know what im doing,Dalton Schultz,3,23,176.66,60.9,-115.76
I dont know what im doing,Devin Singletary,3,21,188.72,119.8,-68.92
I dont know what im doing,Amari Cooper,3,10,198.97,159.8,-39.17
I dont know what im doing,Russell Wilson,3,21,302.42,127.08,-175.34
I dont know what im doing,Cordarrelle Patterson,3,34,167.88,92,-75.88
I dont know what im doing,Zach Ertz,3,4,148.18,115.6,-32.58
I dont know what im doing,Evan McPherson,3,11,148.47,81,-67.47
I dont know what im doing,Patriots D/ST,3,1,90.39,111,20.61
I dont know what im doing,J.D. McKissic,3,50,144.62,55.8,-88.82
I dont know what im doing,Texans D/ST,3,30,46.97,28,-18.97
