,Team,Player,Week,Rank,Expected_Points,Actual_Points,Difference,Position
282,Eugene Tweakers,CeeDee Lamb,2,7,252.45,182.0,-70.44999999999999,WR
283,Eugene Tweakers,Tee Higgins,2,12,237.31,163.6,-73.71000000000001,WR
284,Eugene Tweakers,Cam Akers,2,67,146.71,35.2,-111.51,RB
285,Eugene Tweakers,Darren Waller,2,41,187.71,39.5,-148.21,TE
286,Eugene Tweakers,Marquise Brown,2,37,211.78,120.1,-91.68,WR
287,Eugene Tweakers,Tom Brady,2,17,306.83,171.44,-135.39,QB
288,Eugene Tweakers,Adam Thielen,2,28,192.17,129.3,-62.869999999999976,WR
289,Eugene Tweakers,Drake London,2,42,192.77,108.8,-83.97000000000001,WR
290,Eugene Tweakers,Kadarius Toney,2,125,186.18,26.5,-159.68,WR
291,Eugene Tweakers,Dak Prescott,2,30,306.52,96.82,-209.7,QB
292,Eugene Tweakers,Cowboys D/ST,2,2,106.49,112.0,5.510000000000005,D/ST
293,Eugene Tweakers,Graham Gano,2,8,131.95,94.0,-37.94999999999999,K
294,Eugene Tweakers,Mike Davis,2,124,50.28,4.2,-46.08,RB
295,Eugene Tweakers,Kenyan Drake,2,44,13.48,79.4,65.92,RB
296,Diggy Wit it,Christian McCaffrey,2,4,309.94,210.66,-99.28,RB
297,Diggy Wit it,Stefon Diggs,2,1,258.25,271.2,12.949999999999989,WR
298,Diggy Wit it,Aaron Jones,2,8,242.56,191.5,-51.06,RB
299,Diggy Wit it,Mike Williams,2,43,211.44,107.0,-104.44,WR
300,Diggy Wit it,DJ Moore,2,25,234.57,134.4,-100.16999999999999,WR
301,Diggy Wit it,Courtland Sutton,2,30,210.42,127.3,-83.11999999999999,WR
302,Diggy Wit it,Allen Robinson II,2,58,201.07,84.9,-116.16999999999999,WR
303,Diggy Wit it,Rashaad Penny,2,57,162.93,52.2,-110.73,RB
304,Diggy Wit it,Trey Lance,2,46,284.03,12.46,-271.57,QB
305,Diggy Wit it,Chase Edmonds,2,58,174.07,52.1,-121.97,RB
306,Diggy Wit it,Cole Kmet,2,13,145.78,93.5,-52.28,TE
307,Diggy Wit it,Robert Woods,2,66,180.44,71.1,-109.34,WR
308,Diggy Wit it,Daniel Carlson,2,5,139.12,104.0,-35.120000000000005,K
309,Diggy Wit it,Marquez Valdes-Scantling,2,54,172.06,88.2,-83.86,WR
310,Diggy Wit it,Jameson Williams,2,0,92.61,0.0,-92.61,WR
311,Diggy Wit it,Jeff Wilson Jr.,2,23,50.21,124.6,74.38999999999999,RB
312,Diggy Wit it,Bengals D/ST,2,21,101.48,52.0,-49.480000000000004,D/ST
313,P-Town CASH KEVIN,Jonathan Taylor,2,22,316.99,130.8,-186.19,RB
